Country,Region,Level of transmission,Week,"''"
Belgium,Prov. Hainaut,Community,2020-W32,-
Belgium,Prov. Hainaut,Community,2020-W33,-
Belgium,Prov. Hainaut,Not reported,2020-W34,-
Belgium,Prov. Hainaut,Community,2020-W35,-
Belgium,Prov. Hainaut,Community,2020-W36,-
Belgium,Prov. Hainaut,Not reported,2020-W37,-
Belgium,Prov. Hainaut,Not reported,2020-W38,-
Belgium,Prov. Hainaut,Not reported,2020-W39,-
Belgium,Prov. Liege,Not reported,2020-W01,-
Belgium,Prov. Liege,Not reported,2020-W02,-
Belgium,Prov. Liege,Not reported,2020-W03,-
Belgium,Prov. Liege,Not reported,2020-W04,-
Belgium,Prov. Liege,Not reported,2020-W05,-
Belgium,Prov. Liege,Not reported,2020-W06,-
Belgium,Prov. Liege,Not reported,2020-W07,-
Belgium,Prov. Liege,Not reported,2020-W08,-
Belgium,Prov. Liege,Not reported,2020-W09,-
Belgium,Prov. Liege,Not reported,2020-W10,-
Belgium,Prov. Liege,Not reported,2020-W11,-
Belgium,Prov. Liege,Not reported,2020-W12,-
Belgium,Prov. Liege,Not reported,2020-W13,-
Belgium,Prov. Liege,Not reported,2020-W14,-
Belgium,Prov. Liege,Not reported,2020-W15,-
Belgium,Prov. Liege,Not reported,2020-W16,-
Belgium,Prov. Liege,Not reported,2020-W17,-
Belgium,Prov. Liege,Not reported,2020-W18,-
Belgium,Prov. Liege,Not reported,2020-W19,-
Belgium,Prov. Liege,Not reported,2020-W20,-
Belgium,Prov. Liege,Community,2020-W21,-
Belgium,Prov. Liege,Community,2020-W22,-
Belgium,Prov. Liege,Community,2020-W23,-
Belgium,Prov. Liege,Not reported,2020-W24,-
Belgium,Prov. Liege,Community,2020-W25,-
Belgium,Prov. Liege,Community,2020-W26,-
Belgium,Prov. Liege,Community,2020-W27,-
Belgium,Prov. Liege,Community,2020-W28,-
Belgium,Prov. Liege,Community,2020-W29,-
Belgium,Prov. Liege,Community,2020-W30,-
Belgium,Prov. Liege,Community,2020-W31,-
Belgium,Prov. Liege,Community,2020-W32,-
Belgium,Prov. Liege,Community,2020-W33,-
Belgium,Prov. Liege,Not reported,2020-W34,-
Belgium,Prov. Liege,Community,2020-W35,-
Belgium,Prov. Liege,Community,2020-W36,-
Belgium,Prov. Liege,Not reported,2020-W37,-
Belgium,Prov. Liege,Not reported,2020-W38,-
Belgium,Prov. Liege,Not reported,2020-W39,-
Belgium,Prov. Limburg (Be),Not reported,2020-W01,-
Belgium,Prov. Limburg (Be),Not reported,2020-W02,-
Belgium,Prov. Limburg (Be),Not reported,2020-W03,-
Belgium,Prov. Limburg (Be),Not reported,2020-W04,-
Belgium,Prov. Limburg (Be),Not reported,2020-W05,-
Belgium,Prov. Limburg (Be),Not reported,2020-W06,-
Belgium,Prov. Limburg (Be),Not reported,2020-W07,-
Belgium,Prov. Limburg (Be),Not reported,2020-W08,-
Belgium,Prov. Limburg (Be),Not reported,2020-W09,-
Belgium,Prov. Limburg (Be),Not reported,2020-W10,-
Belgium,Prov. Limburg (Be),Not reported,2020-W11,-
Belgium,Prov. Limburg (Be),Not reported,2020-W12,-
Belgium,Prov. Limburg (Be),Not reported,2020-W13,-
Belgium,Prov. Limburg (Be),Not reported,2020-W14,-
Belgium,Prov. Limburg (Be),Not reported,2020-W15,-
Belgium,Prov. Limburg (Be),Not reported,2020-W16,-
Belgium,Prov. Limburg (Be),Not reported,2020-W17,-
Belgium,Prov. Limburg (Be),Not reported,2020-W18,-
Belgium,Prov. Limburg (Be),Not reported,2020-W19,-
Belgium,Prov. Limburg (Be),Not reported,2020-W20,-
Belgium,Prov. Limburg (Be),Community,2020-W21,-
Belgium,Prov. Limburg (Be),Community,2020-W22,-
Belgium,Prov. Limburg (Be),Community,2020-W23,-
Belgium,Prov. Limburg (Be),Not reported,2020-W24,-
Belgium,Prov. Limburg (Be),Community,2020-W25,-
Belgium,Prov. Limburg (Be),Community,2020-W26,-
Belgium,Prov. Limburg (Be),Community,2020-W27,-
Belgium,Prov. Limburg (Be),Community,2020-W28,-
Belgium,Prov. Limburg (Be),Community,2020-W29,-
Belgium,Prov. Limburg (Be),Community,2020-W30,-
Belgium,Prov. Limburg (Be),Community,2020-W31,-
Belgium,Prov. Limburg (Be),Community,2020-W32,-
Belgium,Prov. Limburg (Be),Community,2020-W33,-
Belgium,Prov. Limburg (Be),Not reported,2020-W34,-
Belgium,Prov. Limburg (Be),Community,2020-W35,-
Belgium,Prov. Limburg (Be),Community,2020-W36,-
Belgium,Prov. Limburg (Be),Not reported,2020-W37,-
